Título;Sala;Fecha;Hora;Más información;Programa;Precio;Imagen
Excelentia. La Bohème de Puccini;Sala Sinfónica;2024-11-12;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/excelentia-la-boheme-de-puccini-1;"Orquesta Clásica Santa Cecilia Director: Kynan Johns Mimí: Letitia Vitelaru Rodolfo: Francesco Castoro Marcello: Manuel Mas Schaunard: Alejandro von Büren Colline: Francisco Santiago Musetta: Ruth Terán Benôit / Alcindoro: Antonio Alonso Parpignol / Vendedor / Aduanero: Víctor Trueba Puesta en escena: Alejandro Contreras Figurinista y caracterización: Ana Ramos Iluminación: Chus Fernández

G. Puccini La Bohème";88, 82, 74, 64, 58, 48 y 38 €;https://www.auditorionacional.mcu.es/es/programacion/excelentia-la-boheme-de-puccini-1/@@images/c3314a1c-4b19-44df-95d8-4ea1d68c9d09.jpeg
La Filarmónica. Tercero de  Rachmáninov y Quinta de Sibelius;Sala Sinfónica;2024-11-13;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/la-filarmonica-tercero-de-rachmaninov-y-quinta-de-sibelius;"
Orquesta Filarmónica de Helsinki Nelson Goerner, piano Jukka-Pekka Saraste, director S. Rachmáninov Concierto para piano núm. 3, Op. 30 J. Sibelius Sinfonía núm. 5 en mi bemol menor, Op. 82";128, 98, 83, 73, 62, 52, 42 y 37 €;https://www.auditorionacional.mcu.es/es/programacion/la-filarmonica-tercero-de-rachmaninov-y-quinta-de-sibelius/@@images/f9846092-c5ae-47e1-bb07-b2bfe27407a0.jpeg
Orquesta Sinfónica de Madrid. Asher Fisch;Sala Sinfónica;2024-11-14;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/orquesta-sinfonica-de-madrid-14;"Orquesta Sinfónica de Madrid Asher Fisch DIRECTOR Dmitri Tsirin, violonchelo
Franz Joseph Haydn Sinfonía Nº 22 en mi bemol mayor, El filósofo Krzysztof Penderecki Concerto Grosso, para tres violonchelos y orquesta Dragos Balan, Simon Veis, Béla Bartók El mandarín maravilloso, Op. 19 Maurice Ravel La Valse Antonio Alvárez Alonso / Cristóbal Halffter Suspiros de España (Pasodoble)";45, 30, 18 y 10 €;https://www.auditorionacional.mcu.es/es/programacion/orquesta-sinfonica-de-madrid-14/@@images/d07de934-4b39-4b78-95f2-facf6ca44d72.jpeg
OCNE. Sinfónico 6;Sala Sinfónica;2024-11-15;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-6-1;"
Orquesta Nacional de España Lucas Macías Navarro Director Tabea Zimmermann Viola Joan Castelló Percusión
Tomás Bretón En la Alhambra Mauricio Sotelo Cantes antiguos del flamenco, para viola y orquesta Richard Strauss Una vida de héroe, op. 40";40, 36, 28, 20 y 13 €;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-6-1/@@images/f6ad34ac-93b9-4e62-a2d9-643473aa3010.jpeg
CNDM. Gunnar Idenstam;Sala Sinfónica;2024-11-16;12:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/cndm-gunnar-idenstam-1;Gunnar Idenstam, órgano Programa Johann Sebastian Bach (1685-1750) Preludio y fuga en do mayor, BWV 531 (ca. 1703-1707) Anton Bruckner (1824-1896) Adagio de la Sinfonía n.º 8 en do menor, WAB 108 (1888, arr. G. Idenstam) SOUNDTRACK SUITE Denez Prigent (1966) Gortoz a ran, de la película Black Hawk derribado (2001) © Geek Music Tema principal del videojuego Battlefield 1942 (2002-2004) Klaus Badelt (1967) He’s a pirate, de la película Piratas del Caribe (2003) Maurice Ravel (1875-1937) Boléro, M 81 (1928, arr. G. Idenstam);6 €;https://www.auditorionacional.mcu.es/es/programacion/cndm-gunnar-idenstam-1/@@images/15a12114-6477-4265-bf40-1609ab5bc857.jpeg
OCNE. Sinfónico 6;Sala Sinfónica;2024-11-16;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-6-1;"
Orquesta Nacional de España Lucas Macías Navarro Director Tabea Zimmermann Viola Joan Castelló Percusión
Tomás Bretón En la Alhambra Mauricio Sotelo Cantes antiguos del flamenco, para viola y orquesta Richard Strauss Una vida de héroe, op. 40";40, 36, 28, 20 y 13 €;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-6-1/@@images/f6ad34ac-93b9-4e62-a2d9-643473aa3010.jpeg
UAM. Música Poética. Los Espíritus Animales;Sala de Cámara;2024-11-16;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/uam-musica-poetica-los-espiritus-animales;"
Íñigo Aranzasti, violín María Alejandra Saturno, viola da gamba Anna Margules, flautas de pico Ramiro Morales, cuerda pulsada Actor por determinar (René Descartes)
Obras del barroco temprano francés y centroeuropeo";40, 30 y 25 €;https://www.auditorionacional.mcu.es/es/programacion/uam-musica-poetica-los-espiritus-animales/@@images/1c40d1c8-1d57-43b9-847e-36a58ba753b6.jpeg
Film Symphony Orchestra. Clasictacular;Sala Sinfónica;2024-11-16;22:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/film-symphony-orchestra-clasictacular-1;"

Film Symphony Orchestra Constantino Martínez-Orts, director Bandas sonoras de El lago de los cisnes, Obertura 1812, El cascanueces, Carmina Burana, La cabalgata de las valquirias, Danubio Azul, El barbero de Sevilla, Turandot, Orfeo, Tosca, Cavallería Rusticana, Guillermo Tell, Las cuatro estaciones, Aida, Nabucco...";67, 63, 57, 52, 39 y 34 €;https://www.auditorionacional.mcu.es/es/programacion/film-symphony-orchestra-clasictacular-1/@@images/da82f53b-fd43-4d4f-92db-95595342c776.jpeg
OCNE. Sinfónico 6;Sala Sinfónica;2024-11-17;11:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-6-1;"
Orquesta Nacional de España Lucas Macías Navarro Director Tabea Zimmermann Viola Joan Castelló Percusión
Tomás Bretón En la Alhambra Mauricio Sotelo Cantes antiguos del flamenco, para viola y orquesta Richard Strauss Una vida de héroe, op. 40";40, 36, 28, 20 y 13 €;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-6-1/@@images/f6ad34ac-93b9-4e62-a2d9-643473aa3010.jpeg
Fundación Orquesta Sinfónica Chamartín. FOSC. Music Fest Chamartin;Sala de Cámara;2024-11-17;11:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/fundacion-orquesta-sinfonica-chamartin-fosc-music-fest-chamartin;Orquesta Celeste Classic Banda Stadtkapelle Germering e.V. Programa Aladdin Grease La la land Braveheart Two Strauss Valses Pizzicato Polka Vals nº2 Shostakovich Piratas del Caribe;20, 15 y 5 €;https://www.auditorionacional.mcu.es/es/programacion/fundacion-orquesta-sinfonica-chamartin-fosc-music-fest-chamartin/@@images/36419b64-79d4-4bd7-9512-8c2c7f1b1ed2.jpeg
Voces para la Paz 2024;Sala Sinfónica;2024-11-17;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/voces-para-la-paz-2024;"
ORQUESTA y CORO “Voces para la Paz” (Músicos Solidarios) DIRECTORES: Enrique García Asensio Andrés Salado Oscar Navarro Raúl Benavent Emilio Aragón Juan Pablo de Juan
“Voces para la Paz. La Fuerza de la Música por un Mundo más Justo""";40, 30 y 20 €;https://www.auditorionacional.mcu.es/es/programacion/voces-para-la-paz-2024/@@images/2abdefe4-d01b-4f03-bb18-4684e8c22f18.jpeg
Excelentia. Homenaje a Paco de Lucía;Sala de Cámara;2024-11-19;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/excelentia-homenaje-a-paco-de-lucia-2;Alejandro Hurtado, guitarra Andrés Barrios, piano Palmeros Guitarra: Callejón del Muro (Minera) – Paco de Lucía Tamiz (Alegrías) – Alejandro Hurtado La liviana (Seguiriya) – Alejandro Hurtado Rondeña – Ramón Montoya Tangos – Ramón Montoya Río de la Miel (Bulería) – Paco de Lucía Gran Jota de Concierto – Francisco Tárrega Danza del Molinero – Manuel de Falla Ímpetu – Mario Escudero Piano: Taranta – Paco de Lucía / Andrés Barrios Bulerías – Andrés Barrios / Paco de Lucía Anda Jaleo – Paco de Lucía / Andrés Barrios Soleá – Paco de Lucía / Andrés Barrios La Tarara – Paco de Lucía / Andrés Barrios El Vito – Andrés Barrios / Paco de Lucía;65 y 58 €;https://www.auditorionacional.mcu.es/es/programacion/excelentia-homenaje-a-paco-de-lucia-2/@@images/fede81ad-8127-40f1-8e19-2f1bc444c8f9.jpeg
Excelentia. Coronación Mozart & Pastoral de Beethoven;Sala Sinfónica;2024-11-19;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/excelentia-coronacion-mozart-pastoral-de-beethoven;"Sociedad Coral Excelentia de Madrid
Orquesta Clásica Santa Cecilia
Juan Pablo Valencia, director
Letitia Vitelaru, soprano
Beatriz Oleaga, mezzo
Víctor Sordo, tenor
Ihor Voievodin, bajo
Mozart Regina Coeli, K. 108 Exsultate Jubilate, K. 165 Misa de la Coronación, K. 317
Beethoven Sinfonía núm. 6 en Fa Mayor ‘Pastoral’ op. 68
";78, 74, 72, 68, 56, 52, 48 y 42 €;https://www.auditorionacional.mcu.es/es/programacion/excelentia-coronacion-mozart-pastoral-de-beethoven/@@images/c14c0641-69b4-4514-9190-70eeafec9492.jpeg
OJEM. G. Mahler, Sinfonía nº2 “Resurrección”;Sala Sinfónica;2024-11-20;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/ojem-g-mahler-sinfonia-no2-201cresurreccion201d;Orquesta Juvenil Europea de Madrid Coro Sinfónico OJEM Celia Alcedo, soprano Katerina Antípoda, mezzosoprano Dirección: Adriana Tanus G. Mahler Sinfonía nº2 “Resurrección” (Edición Stark-Voit y Gilbert Kaplan);25, 23, 18, 15, 12 y 9 €;https://www.auditorionacional.mcu.es/es/programacion/ojem-g-mahler-sinfonia-no2-201cresurreccion201d/@@images/01cd7a60-15e6-46d3-b493-b7ef5e4f2221.jpeg
La Filarmónica. Sonata de los Adioses;Sala de Cámara;2024-11-21;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/la-filarmonica-sonata-de-los-adioses;"
Guillermo Hernández, piano L. v. Beethoven Sonata para piano n.o 26 en mi bemol mayor, Op. 81a, “Les Adieux” S. Prokófiev de Piezas, Op. 12: núm. 6 “Légende”, núm. 2 “Gavotte” y núm. 10 “Scherzo” Sonata núm. 3, Op. 28 en la menor
F. Liszt de “Années de Pelèrinage II, Italia”: “Sposalizio” S. 161/1 R. Schumann, Carnaval Op. 9";32, 28, 24 y 20 €;https://www.auditorionacional.mcu.es/es/programacion/la-filarmonica-sonata-de-los-adioses/@@images/e378b0aa-a9b1-45c3-82fe-fcd4986364c4.jpeg
