título;sala;fecha;hora;más información;programa;precio;imagen;procedencia;función;categoría;link de compra;ciclo;sub-ciclo;descripción;ubicación
Fundación Scherzo. Gli Incogniti & Amandine Beyer;Sala de Cámara;2024-11-18;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/fundacion-scherzo-gli-incogniti-amandine-beyer;"
Gli Incogniti & Amandine Beyer, violín PROGRAMA In memoriam Javier Rodríguez-Miñón Falero
J. S. BACH (1685-1750) Concierto para dos violines en re menor BWV 1043 Concierto para clave y orquesta en fa menor BWV 1056 Concierto de Brandemburgo nº 3 en sol mayor BWV 1048 Concierto de Brandemburgo nº 6 en si mayor BWV 1051 Concierto para tres violines en re mayor BWV 1064R";25 y 20 €;https://www.auditorionacional.mcu.es/es/programacion/fundacion-scherzo-gli-incogniti-amandine-beyer/@@images/0b3f68ad-2167-459b-bacb-ba39eb7f983d.png;Auditorio Nacional;null;null;null;null;null;null;null
Excelentia. Homenaje a Paco de Lucía;Sala de Cámara;2024-11-19;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/excelentia-homenaje-a-paco-de-lucia-2;Alejandro Hurtado, guitarra Andrés Barrios, piano Palmeros Guitarra: Callejón del Muro (Minera) – Paco de Lucía Tamiz (Alegrías) – Alejandro Hurtado La liviana (Seguiriya) – Alejandro Hurtado Rondeña – Ramón Montoya Tangos – Ramón Montoya Río de la Miel (Bulería) – Paco de Lucía Gran Jota de Concierto – Francisco Tárrega Danza del Molinero – Manuel de Falla Ímpetu – Mario Escudero Piano: Taranta – Paco de Lucía / Andrés Barrios Bulerías – Andrés Barrios / Paco de Lucía Anda Jaleo – Paco de Lucía / Andrés Barrios Soleá – Paco de Lucía / Andrés Barrios La Tarara – Paco de Lucía / Andrés Barrios El Vito – Andrés Barrios / Paco de Lucía;65 y 58 €;https://www.auditorionacional.mcu.es/es/programacion/excelentia-homenaje-a-paco-de-lucia-2/@@images/fede81ad-8127-40f1-8e19-2f1bc444c8f9.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
Excelentia. Coronación Mozart & Pastoral de Beethoven;Sala Sinfónica;2024-11-19;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/excelentia-coronacion-mozart-pastoral-de-beethoven;"Sociedad Coral Excelentia de Madrid
Orquesta Clásica Santa Cecilia
Juan Pablo Valencia, director
Letitia Vitelaru, soprano
Beatriz Oleaga, mezzo
Víctor Sordo, tenor
Ihor Voievodin, bajo
Mozart Regina Coeli, K. 108 Exsultate Jubilate, K. 165 Misa de la Coronación, K. 317
Beethoven Sinfonía núm. 6 en Fa Mayor ‘Pastoral’ op. 68
";78, 74, 72, 68, 56, 52, 48 y 42 €;https://www.auditorionacional.mcu.es/es/programacion/excelentia-coronacion-mozart-pastoral-de-beethoven/@@images/c14c0641-69b4-4514-9190-70eeafec9492.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
OJEM. G. Mahler, Sinfonía nº2 “Resurrección”;Sala Sinfónica;2024-11-20;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/ojem-g-mahler-sinfonia-no2-201cresurreccion201d;Orquesta Juvenil Europea de Madrid Coro Sinfónico OJEM Celia Alcedo, soprano Katerina Antipova, mezzosoprano Dirección: Adriana Tanus G. Mahler Sinfonía nº2 “Resurrección” (Edición Stark-Voit y Gilbert Kaplan);25, 23, 18, 15, 12 y 9 €;https://www.auditorionacional.mcu.es/es/programacion/ojem-g-mahler-sinfonia-no2-201cresurreccion201d/@@images/07ef3ef0-d70f-4d8d-94bf-3627db0649ee.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
Conservatorio Profesional de Música Arturo Soria. Entrega de Premios 2023-2024;Sala de Cámara;2024-11-20;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/conservatorio-profesional-de-musica-arturo-soria-entrega-de-premios-2023-2024;ACTO DE ENTREGA DE DIPLOMAS CONCIERTO DE ALUMNOS PREMIADOS PREMIO FIN DE GRADO, GUITARRA Antonio Carlos Jobim (1927-1994), Roland Dyens (arreglista) (1955-2016). Felicidade Lidia Rubio Español Profesora: María Luisa Benito Serrano PREMIO CONCURSO DE MÚSICA DE CÁMARA Waldemar von Baussnern (1866-1931) ‘SERENADE Para Violín, Clarinete Y Piano IV. Mit Grazie und Humor Navarro Quiles, Alejandro (Violín) Felipe Torres, Sofía (Clarinete) Zoya Ferrer, Álvaro (Piano) Profesor: Alberto Urroz Jaurrieta PREMIO FIN DE GRADO, VIOLÍN Pablo Sarasate y Navascués (1844-1908) Aires Gitanos Op. 20 Sofía Maravella Todorova Profesora repertorista: Coral Quevedo Profesor: Emilio Maravella Ruiz PREMIO FIN DE GRADO, PIANO Francis Poulenc (1899-1963) Intermezzo nº 3 en La b M Mariana Tomás Alonso Profesora: Helena Poveda Lacárcel PREMIO FIN DE GRADO, TROMPETA Arthur Honegger ( 1890/1955) Intrada Iker López-Dávila Montero Profesor repertorista: Juan Daunesse Agud Profesor: José Miguel Sambartolomé Cortés PREMIO FIN DE GRADO, CLARINETE Claude Debussy (1862 - 1918) Première Rhapsodie, L. 116 Daniel Navares Ambite Profesor: José Miguel Lucas Torres Escribano Profesor repertorista: Rael Coirini PREMIO FIN DE GRADO, FLAUTA TRAVESERA Max Meyer-Olbersleben (1850-1927) Fantasie-Sonate OP. 17 III. Bacchanale Candela Cabero Castellano Pianista acompañante: Joan Cabero Castellano Profesor: Manuel Rodríguez Arribas PREMIO FIN DE GRADO, OBOE Eugène Bozza (1905-1991) Fantaisie Pastorale I. Lent II. Moderado III. Allegro ma non tropo Laura Martínez Sánchez Profesor repertorista: Miguel Ángel Herrero Aristeguieta. Profesor: Pablo Iglesias Jiménez PREMIO FIN DE GRADO, CANTO Federico Moreno Torroba (1891-1982) La petenera (La Marchenera. Zarzuela en 3 actos. 1928) Lydia Galasova Profesor repertorista: Antonio Moreno Titos Profesor: Miguel Bernal Menéndez PREMIO FIN DE GRADO, GANADORA DEL VIII CONCURSO DE SOLISTAS ARTURO SORIA Y PREMIO EXTRAORDINARIO DE LA COMUNIDAD DE MADRID 2024 Edward Elgar (1857-1934) Concierto Para Violoncello En Mi Menor Op. 85 I Adagio-Moderato II Lento-Allegro molto Marina Cañete Quevedo (violoncello) Joven Orquesta Sinfónica Arturo Soria. Carlos Albuisech Tejedor, director Profesora: Pilar Navarro Muñoz;10 €;https://www.auditorionacional.mcu.es/es/programacion/conservatorio-profesional-de-musica-arturo-soria-entrega-de-premios-2023-2024/@@images/73edfd48-e7fa-48af-8509-153bd4d25a7f.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
La Filarmónica. Sonata de los Adioses;Sala de Cámara;2024-11-21;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/la-filarmonica-sonata-de-los-adioses;"
Guillermo Hernández, piano L. v. Beethoven Sonata para piano n.o 26 en mi bemol mayor, Op. 81a, “Les Adieux” S. Prokófiev de Piezas, Op. 12: núm. 6 “Légende”, núm. 2 “Gavotte” y núm. 10 “Scherzo” Sonata núm. 3, Op. 28 en la menor
F. Liszt de “Années de Pelèrinage II, Italia”: “Sposalizio” S. 161/1 R. Schumann, Carnaval Op. 9";32, 28, 24 y 20 €;https://www.auditorionacional.mcu.es/es/programacion/la-filarmonica-sonata-de-los-adioses/@@images/e378b0aa-a9b1-45c3-82fe-fcd4986364c4.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
NK Prodarte. Los Tres Tenores;Sala Sinfónica;2024-11-21;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/nk-prodarte-los-tres-tenores;"
Orquesta Filarmónica de España ""Los Tres Tenores""";57, 52, 42, 38, 36 y 32 €;https://www.auditorionacional.mcu.es/es/programacion/nk-prodarte-los-tres-tenores/@@images/67f7cfdc-a578-4f31-b59e-daad257dcdc8.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
OCNE. Sinfónico 7;Sala Sinfónica;2024-11-22;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-7-1;"Orquesta Nacional de España
David Afkham Director Anton Bruckner Sinfonía núm. 5 en Si bemol mayor";40, 36, 28, 20 y 13 €;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-7-1/@@images/3a319d0b-4cb4-4ed9-a459-b9dade46a612.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
ORCAM. Tiempo de Cámara II. Una Invitación a Viajar;Sala de Cámara;2024-11-22;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/orcam-una-invitacion-a-viajar;"

Coro de la Comunidad de Madrid
Henri Duparc * / L’invitation au voyage / Chanson triste / La vie antérieur
Mel Bonis / Pensées d’automne, op. 19
Gabriel Fauré * / Après un rêve / Chanson du pêcheur /
Les barceaux / Nell
Claude Debussy */ Romance / Beau soir
Mel Bonis / Barcarolle, op. 71
Sven-Davis Sandström / Four songs of love
Sergei Rachmaninov / Vocalise
Yves Castagnet / L’invitation au voyage
*Arr. Denis Rouger";15 y 12 €;https://www.auditorionacional.mcu.es/es/programacion/orcam-una-invitacion-a-viajar/@@images/3f7fc334-f0bf-44f8-a8ab-367255e84976.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
OCNE. Sinfónico 7;Sala Sinfónica;2024-11-23;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-7-1;"Orquesta Nacional de España
David Afkham Director Anton Bruckner Sinfonía núm. 5 en Si bemol mayor";40, 36, 28, 20 y 13 €;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-7-1/@@images/3a319d0b-4cb4-4ed9-a459-b9dade46a612.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
Grupo Concertante Talía. Batuta 1. Voces y Orquesta hasta el Clasicismo;Sala de Cámara;2024-11-23;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/grupo-concertante-talia-batuta-1-voces-y-orquesta-hasta-el-clasicismo;Orquesta Metropolitana de Madrid Coro Talía Directora titular: Silvia Sanz Torre Antonio Vivaldi (1678-1741) Gloria RV 589 en re mayor (concierto comentado por la directora Silvia Sanz Torre);32 y 27 €;https://www.auditorionacional.mcu.es/es/programacion/grupo-concertante-talia-batuta-1-voces-y-orquesta-hasta-el-clasicismo/@@images/967a4c4d-38bf-423f-9422-e7ea1dc98d74.png;Auditorio Nacional;null;null;null;null;null;null;null
OCNE. Sinfónico 7;Sala Sinfónica;2024-11-24;11:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-7-1;"Orquesta Nacional de España
David Afkham Director Anton Bruckner Sinfonía núm. 5 en Si bemol mayor";40, 36, 28, 20 y 13 €;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-7-1/@@images/3a319d0b-4cb4-4ed9-a459-b9dade46a612.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
Orquesta Camerata Musicalis. Mucho Más que un Concierto. Chopin, Schumann y Scriabin;Sala de Cámara;2024-11-24;11:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/orquesta-camerata-musicalis-mucho-mas-que-un-concierto-chopin-schumann-y-scriabin;"
Filipp Moskalenko, piano
Recital de piano de Chopin, Schumann y Scriabin";37’50,  29’50,  23’50 y  18’50 €;https://www.auditorionacional.mcu.es/es/programacion/orquesta-camerata-musicalis-mucho-mas-que-un-concierto-chopin-schumann-y-scriabin/@@images/38833777-e113-413e-bec6-a252adeedf80.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
Filarmonía de Madrid. Mozart: Requiem;Sala Sinfónica;2024-11-24;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/filarmonia-de-madrid-mozart-requiem;Orquesta y Coro Filarmonía Participativos Filarmonía Director del Coro: Rafael Albiñana Director Musical: Pascual Osa I PARTE Sinfonía concertante para instrumentos de viento (W. A. Mozart) Solistas de la Filarmónica de Múnich II PARTE Misa de Réquiem en re menor, K. 626 (W. A. Mozart);56, 49, 41, 32 y 28 €;https://www.auditorionacional.mcu.es/es/programacion/filarmonia-de-madrid-mozart-requiem/@@images/4220d538-ef28-4aae-948d-de988454e068.png;Auditorio Nacional;null;null;null;null;null;null;null
Acción por la Música;Sala Sinfónica;2024-11-25;18:00:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/accion-por-la-musica;Orquestas y coros de la Fundación Acción por la Música Concierto de obras de diferentes estilos musicales, desde clásicos de la música orquestal hasta arreglos contemporáneos CONCIERTO APLAZADO AL 25 de noviembre a las 18:00 horas;0 €;https://www.auditorionacional.mcu.es/es/programacion/accion-por-la-musica/@@images/bcc35d58-e06c-4e7c-9cd0-268b470249e4.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
OCNE. Satélite 07.  In Tempo di Danza;Sala de Cámara;2024-11-26;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/ocne-satelite-07-in-tempo-di-danza;"
CONCIERTO CANCELADO
Por razones organizativas se cancela el concierto Satélites 7, del 26 de noviembre de 2024. DEVOLUCIONES: La devolución del importe de las entradas (de abono y sueltas): Las devoluciones de compras por teléfono o internet se harán a la tarjeta de compra de forma inmediata a partir del 13 de noviembre. Las devoluciones de compras en taquilla se realizarán las Taquillas del Auditorio Nacional en la tarjeta de compra utilizada o en efectivo, hasta el 13 de febrero de 2025
Linea Quartet Joan Castelló Antonio Martín Percusión Jesús Campo Daniel Oyarzabal Pianos
Maurice Ravel Rapsodie espagnole (arr. Linea Quartet) Béla Bartók Sonata para dos pianos y percusión, Sz. 110 Ígor Stravinski Petrushka (arr. Linea Quartet)";12 €;https://www.auditorionacional.mcu.es/es/programacion/ocne-satelite-07-in-tempo-di-danza/@@images/5ee7a133-b417-4c80-b94e-8d4192c41e51.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
Hispania Concertalia. I Solisti Veneti. 65 Aniversario;Sala Sinfónica;2024-11-26;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/hispania-conciertos-europa-musical-virtuosismo-y-lirismo;"
I SOLISTI VENETI GIULIANO CARELLA, director SONIA PRINA, contralto PAOLO GRAZIA, oboe

Programa ""I Solisti Veneti. 65 Aniversario"" Arcangelo Corelli Op. 6, n.º 4 Georg Friedrich Haendel de ""Siroe"" - ""Estoy cansado, debo morir"" Georg Friedrich Haendel de ""Orlando"" - ""Déjame luchar"" Baldassare Galuppi Concierto a cuatro en Re menor Tomaso Albinoni Concierto en Re menor para oboe Giacomo Puccini de ""Manon Lescaut"" - Intermezzo Pietro Mascagni de ""Cavalleria rusticana"" - Intermezzo Benedetto Marcello Concierto en Do menor para oboe Antonio Vivaldi de ""Andromeda"" - ""A menudo el sol"" Antonio Vivaldi de ""Bajazet"" - ""Bárbaro traidor""";98, 78, 68, 59, 49, 38, 28 y 24 €;https://www.auditorionacional.mcu.es/es/programacion/hispania-conciertos-europa-musical-virtuosismo-y-lirismo/@@images/c6c2ac87-f568-4824-8cee-f139524362ef.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
Excelentia. Rachmaninov & Patética Tchaikovsky;Sala Sinfónica;2024-11-27;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/excelentia-rachmaninov-patetica-tchaikovsky;No disponible;No disponible;https://www.auditorionacional.mcu.es/es/programacion/excelentia-rachmaninov-patetica-tchaikovsky/@@images/8c404535-79a4-40ae-9d27-952c275ec8d1.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
CNDM. Joven Orquesta Nacional de España. JONDE;Sala de Cámara;2024-11-29;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/cndm-joven-orquesta-nacional-de-espana-jonde;Joven Orquesta Nacional de España (JONDE) Richard Egarr, clave y dirección George Frideric Haendel (1685-1759) Concerto grosso en si bemol mayor, op. 3, n.º 2 HWV 313 (1715-1718) George Frideric Haendel (1685-1759) Concerto grosso en la menor, op. 6, n.º 4 HWV 322 (1739) Johann Sebastian Bach (1685-1750) Sinfonía en re mayor, BWV 1045 (ca. 1742-1746) Henry Purcell (1659-1695) Suite de The fairy queen, Z 629 (1692) Johann Sebastian Bach (1685-1750) Suite para orquesta n.º 3 en re mayor, BWV 1068 (1731);28, 21 y 14 €;https://www.auditorionacional.mcu.es/es/programacion/cndm-joven-orquesta-nacional-de-espana-jonde/@@images/a3bc420f-34b0-413e-82f4-df2d71d0afbc.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
Beethoven Universal. Tchaikovsky & Beethoven Universales;Sala Sinfónica;2024-11-30;12:00:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/beethoven-universal-tchaikovsky-beethoven-universales;"

Beethoven Symphony Orchestra Ramón Torrelledó, director
Pianistas: DAVID KHRIKULI, MATTEO GIULIANI y EMIN KIOURKTCHIAN Piotr Ilch TCHAIKOVSKY (1840-1893) Concierto para piano y orquesta n. 1 Op. 23 en Si bemol Menor Allegro non troppo e molto maestoso con David Khrikuli, piano solista Andantino semplice con Matteo Giuliani, piano solista Allegro con fuoco con Emin Kiourktchian, piano solista
Ludwig van BEETHOVEN (1770-1827) Sinfonía n. 7 Op. 92 en La Mayor";42, 37, 30, 25, 22, 17 y 16 €;https://www.auditorionacional.mcu.es/es/programacion/beethoven-universal-tchaikovsky-beethoven-universales/@@images/1c3bd971-3680-491c-beb9-65f4fc25e61e.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
Excelentia. Bach: Conciertos de Brandeburgo (II);Sala de Cámara;2024-11-30;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/excelentia-bach-conciertos-de-brandeburgo-ii;"Orquesta Clásica Santa Cecilia
Bach Suite orquestal núm 2 en si menor BWV 1067
Concierto de Brandeburgo No. 3 en sol mayor, BWV 1048
Concierto de Brandeburgo No. 5 en re mayor, BWV 1050
Concierto de Brandeburgo No. 6 en si bemol mayor, BWV 1051";77 y 65 €;https://www.auditorionacional.mcu.es/es/programacion/excelentia-bach-conciertos-de-brandeburgo-ii/@@images/19029e78-71de-4747-8cab-aac3e237c481.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
UPM. De Norte a Sur;Sala Sinfónica;2024-11-30;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/upm-de-norte-a-sur;"
ORQUESTA METROPOLITANA DE MADRID Directora: Silvia Sanz Torre Pareja de tango: Natalia Vicente y Juan Manuel Nieto
PROGRAMA Parte I S. Barber, Adagio para cuerdas L. Bernstein, Danzas Sinfónicas de West Side Story G. Gershwin, Obertura Girl Crazy
Parte II C. Gardel, Por una cabeza A. Márquez, Danzón nº2 M. Morés, La tanguera A. Pérez Prado, Mambos 5 y 8";35, 29, 21 y  9'50 €;https://www.auditorionacional.mcu.es/es/programacion/upm-de-norte-a-sur/@@images/ad5a4134-9855-44a4-be46-ea88ea5b9b63.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
Concierto Benéfico de Navidad a favor de Fundación Padre Arrupe;Sala Sinfónica;2024-12-01;12:00:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/concierto-benefico-de-navidad-a-favor-de-fundacion-padre-arrupe;"Orquesta Metropolitana de Madrid Coro Talía Coro Talía Mini Napoleón Domínguez, tenor Silvia Sanz Torre, directora
I parte Himno de la Fundación Padre Arrupe _______ G.G. Segura My fair lady_______________________ Frederick Loewe Caballería ligera ___________________ F.ranz von Suppé Viva la vida __________________ Coldplay / Arr. A.Vivas Rock around the rock ______________________ A. Vivas It’s not unusual _________ Les Reed, G. Mills / Arr. A.Vivas Villancico español ___________________ por determinar El Rey León (The Circle of life) _____________ Elton John II parte Every breath you take _____ Sting(Summer)/Arr. A.Vivas Sing, sing sing ______ Louis Prima, vrs de Benny Godman Pompa y circunstancia, marcha nº1 ___________ E. Elgar It´s beginning to look a lot like Christmas ____ M. Willson Another day of sun _____________________ J. Hurwitz A concert celebration __________ Andrew Lloyd Webber Con duende y sabor ______________________ A. Vivas";50, 45 y 25 €(Donación Fila 0: 10 €);https://www.auditorionacional.mcu.es/es/programacion/concierto-benefico-de-navidad-a-favor-de-fundacion-padre-arrupe/@@images/882212f8-8f48-4cf0-a5ca-c9298fef00ce.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
CNDM. Yamen Saadi,  Sara Ferrández & Kian Soltani;Sala de Cámara;2024-12-02;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/cndm-yamen-saadi-sara-ferrandez-kian-soltani;Yamen Saadi, violín Sara Ferrández, viola Kian Soltani, violonchelo Johann Sebastian Bach (1685-1750) Variaciones Goldberg, BWV 988 (1741, arr. para trío de cuerda de D. Sitkovetski);28, 21 y 14 €;https://www.auditorionacional.mcu.es/es/programacion/cndm-yamen-saadi-sara-ferrandez-kian-soltani/@@images/e842e7e3-01d2-4b6c-a6be-f30e48a532f7.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
Ibermúsica. Carmina Burana y Orfeón Donostiarra;Sala Sinfónica;2024-12-02;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/ibermusica-carmina-burana-y-orfeon-donostiarra;"ADDA Simfònica Alicante Orfeón Donostiarra Josep Vicent, dirección José Antonio Sainz Alfaro, dirección de coro
Ravel Daphnis et Chloe, segunda suite Orff Carmina Burana";115, 105, 90, 85, 55, 45 y 30 €;https://www.auditorionacional.mcu.es/es/programacion/ibermusica-carmina-burana-y-orfeon-donostiarra/@@images/659163da-3d89-4e0d-963c-10d56d4cfa6e.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
OCNE. Satélite 08.  Arpas y Voces en Navidad;Sala de Cámara;2024-12-03;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/ocne-satelite-08-arpas-y-voces-en-navidad;"
Voces huelgas Carmen Gurriarán Agnieszka Grzywacz Rosa de Segovia Marta de Andrés Pilar Pujol Helia Martínez Marta Bornaechea Voces Nuria Llopis Arpa Sofía Alegre Fídula La Navidad medieval (cantada en latín)
La Navidad renacentista (cantada en romance)";12 €;https://www.auditorionacional.mcu.es/es/programacion/ocne-satelite-08-arpas-y-voces-en-navidad/@@images/c751e443-beaa-458a-a406-6a7487f5d64f.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
NK Prodarte. Gran Antología de la Zarzuela;Sala Sinfónica;2024-12-03;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/nk-prodarte-gran-antologia-de-la-zarzuela;"Orquesta Filarmónica de España ""Gran Antología de la Zarzuela""";67, 62, 52, 47, 42 y 37 €;https://www.auditorionacional.mcu.es/es/programacion/nk-prodarte-gran-antologia-de-la-zarzuela/@@images/a230106b-0892-4440-acb2-1c51125e16ac.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
Aparejadores de Madrid. Concierto de Navidad;Sala Sinfónica;2024-12-04;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/aparejadores-de-madrid-concierto-de-navidad;"
Madrid Youth Orchestra Coro Talía Silvia Sanz Torre, directora Marcos Quesada, trompeta";No disponible;https://www.auditorionacional.mcu.es/es/programacion/aparejadores-de-madrid-concierto-de-navidad/@@images/0c44604b-1635-4a13-9da7-edad8fee4b4f.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
"CNDM. Los Elementos: ""Villancicos y Cantadas Navideñas""";Sala de Cámara;2024-12-04;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/cndm-los-elementos-villancicos-y-cantadas-navidenas;"Los Elementos DEBORAH CACHET, soprano ALBERTO MIGUÉLEZ ROUCO, alto y dirección
Programa ""Villancicos y cantadas navideñas"" Francisco Corselli (1705-1778) Rompa, Señor, mi acento, cantada al Santísimo para alto, dos violines y bajo continuo José de Nebra (1702-1768) Sinfonía n.º 8 en do mayor F. Corselli Hueco laurel frondoso, cantada de Navidad (1748) Nicola Porpora (1686-1768) Sinfonia da camera en sol menor, op. 2, n.º 3 (1736 ) F. Corselli Felicísimo Alzino, villancico de Navidad a dúo";28, 21 y 14 €;https://www.auditorionacional.mcu.es/es/programacion/cndm-los-elementos-villancicos-y-cantadas-navidenas/@@images/12f65649-039f-489b-a037-2b8d24c7e986.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
Concierto Solidario de Navidad Misiones Salesianas por la Infancia y la Juventud en África;Sala Sinfónica;2024-12-05;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/concierto-solidario-de-navidad-misiones-salesianas-por-la-infancia-y-la-juventud-en-africa;"Orquesta: Orquesta Sinfónica de España Directores: Juan Antonio Simarro, César Guerrero y Beatriz Fernández Artistas invitados: Los Refrescos, Conchita, Modestia Aparte, Marilia, Vicky Gastelo, Iñaki García y Kilema. Coros: Coro Nox
Juan Antonio Simarro, dirección artística
Programa ""Obertura por los derechos humanos"", ""Esta noche es Navidad"" y obras de los artistas invitados";De 12 a 45 €;https://www.auditorionacional.mcu.es/es/programacion/concierto-solidario-de-navidad-misiones-salesianas-por-la-infancia-y-la-juventud-en-africa/@@images/e31486e7-5724-4be2-baff-ccff853e937f.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
Maelicum Conciertos. Vive Vivaldi;Sala Sinfónica;2024-12-07;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/maelicum-conciertos-vive-vivaldi;"Stift Festival Orchestra de Países Bajos Daniel Rowland, solo violín y director Majda Bogdanoviĉ, cello Floor Le Coultre, violín ""Vive Vivaldi"" Antonio Vivaldi (1678-1741) La Follia, RV 63 Violin Concerto: La Tempesta di mare, RV 253 Osvaldo Golijov (1960) Tenebrae, para orquesta de cuerda Antonio Vivaldi (1678-1741) Concerto for violin & cello in B flat, RV 457 Max Richter (1966) Vivaldi’s Four Seasons Recomposed";79, 63, 59, 49, 44, 39, 34, 29, 24, 19 y 10 €;https://www.auditorionacional.mcu.es/es/programacion/maelicum-conciertos-vive-vivaldi/@@images/3f67f80c-53f9-490f-af9e-a8c7de0b0903.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
Fundación “la Caixa”. El Mesías Participativo;Sala Sinfónica;2024-12-09;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/fundacion-201cla-caixa201d-el-mesias-participativo-2;"The English Concert, orquesta y coro Chiara Skerath, soprano Jess Dandy, contralto James Way, tenor Neal Davies, bajo Participantes individuales Directoras Preparadoras: Amaya Añúa y Celia Alcedo Dirección: Harry Bicket
Programa
El Mesías de G. F. Händel";45, 26, 13 y 10 €;https://www.auditorionacional.mcu.es/es/programacion/fundacion-201cla-caixa201d-el-mesias-participativo-2/@@images/97e47fc5-18f0-4216-8ecc-3e314177252d.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
Fundación “la Caixa”. El Mesías Participativo;Sala Sinfónica;2024-12-10;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/fundacion-201cla-caixa201d-el-mesias-participativo-2;"The English Concert, orquesta y coro Chiara Skerath, soprano Jess Dandy, contralto James Way, tenor Neal Davies, bajo Participantes individuales Directoras Preparadoras: Amaya Añúa y Celia Alcedo Dirección: Harry Bicket
Programa
El Mesías de G. F. Händel";45, 26, 13 y 10 €;https://www.auditorionacional.mcu.es/es/programacion/fundacion-201cla-caixa201d-el-mesias-participativo-2/@@images/97e47fc5-18f0-4216-8ecc-3e314177252d.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
