título;sala;fecha;hora;más información;programa;precio;imagen;procedencia;función;categoría;link de compra;ciclo;sub-ciclo;descripción;ubicación
OCNE. Satélite 16. La Cuarta de Mahler;Sala de Cámara;2025-03-17;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/ocne-satelite-16-la-cuarta-de-mahler;"IL Maniático Ensemble Margarita Rodríguez Soprano Ane Matxain Mario Pérez Violín Alicia Salas Viola Josep Trescolí Violonchelo Laura Asensio Contrabajo Coline-Marie Orliac Arpa Álvaro Octavio Flauta Robert Silla Oboe Eduardo Raimundo Clarinete Enrique Abargues Fagot Pedro Jorge Trompa Manuel Blanco Trompeta Jordi Navarro Trombón Joan Castelló Antonio Martín Percusión
Gustav Mahler Sinfónía nº 4 en Sol Mayor (versión de cámara de Iain Farrington)";12 €;https://www.auditorionacional.mcu.es/es/programacion/ocne-satelite-16-la-cuarta-de-mahler/@@images/46884faa-5bed-4404-b4ff-6c3d998307f9.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
ORCAM. Sinfónico VII. No Solo Música;Sala Sinfónica;2025-03-17;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/orcam-sinfonico-vii-no-solo-musica;"

Orquesta de la Comunidad de Madrid Edicson Ruiz, CONTRABAJO Christian Vásquez, DIRECTOR
Efrain Oscher Concierto para contrabajo y orquesta +
Piotr Ilich Tchaikovsky Sinfonía nº4 en fa menor, op. 36
+ Primera vez ORCAM";36, 28, 23 y 15 €;https://www.auditorionacional.mcu.es/es/programacion/orcam-sinfonico-vii-no-solo-musica/@@images/c235309b-7b97-4119-b67c-cc7d4e5ba4b1.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
Baridà Music. Hergest Ridge de Mike Oldfield. 50 Aniversario;Sala Sinfónica;2025-03-18;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/barida-music-hergest-ridge-de-mike-oldfield-50-aniversario;"
Orquesta Opus One Quartet Brossa Xavier Alern, director

Artistas invitadas: Rosa Cedrón Anna Luna Laia Frigolé y más invitados Programa Hergest Ridge de Mike Oldfield (1974) Selección de piezas de los álbumes Tubular Bells, Tubular Bells II, Tubular Bells III, Incantations, Islands y Music of the Spheres,entre otras.";59, 55, 45 y 25 €;https://www.auditorionacional.mcu.es/es/programacion/barida-music-hergest-ridge-de-mike-oldfield-50-aniversario/@@images/16468a19-7b6f-402f-80f6-eb35fbac8fc9.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
Ibermúsica. Ana María Alonso y Rubén Yessayan;Sala de Cámara;2025-03-19;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/ibermusica-ana-maria-alonso-y-ruben-yessayan;Ana María Alonso, viola Rubén Yessayan, piano;No disponible;https://www.auditorionacional.mcu.es/es/programacion/ibermusica-ana-maria-alonso-y-ruben-yessayan/@@images/525bd54c-aec7-4da9-a6a6-bf02060fdbfb.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
CNDM. Liza Ferschtman, Malin Broman, Antoine Lederlin & Jonathan Biss;Sala de Cámara;2025-03-20;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/cndm-liza-ferschtman-malin-broman-antoine-lederlin-jonathan-biss;Liza Ferschtman, violín Malin Broman, viola Antoine Lederlin, violonchelo Jonathan Biss, piano Antonín Dvořák (1841-1904) Cuarteto para piano y cuerda n.º 1 en re mayor, op. 23 (1875) Leoš Janáček (1854-1928) Sonata para violín y piano (1922) Fanny Hensel-Mendelssohn (1805-1847) Selección de cuatro lieder (arr. para viola y piano) Johannes Brahms (1833-1897) Cuarteto para piano y cuerda n.º 3 en do menor, op. 60 (1855-1875);28, 21 y 14 €;https://www.auditorionacional.mcu.es/es/programacion/cndm-liza-ferschtman-malin-broman-antoine-lederlin-jonathan-biss/@@images/fdcb8d5a-b6d1-4780-a6db-ee3910dc008e.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
Excelentia. Bach, Pasión según San Mateo;Sala Sinfónica;2025-03-20;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/excelentia-bach-pasion-segun-san-mateo;"Sociedad Coral Excelentia de Madrid
Orquesta Clásica Santa Cecilia
Alexander Znamensky, director
J. S. Bach La Pasión según San Mateo";78, 74, 72, 68, 56, 52, 48 y 42 €;https://www.auditorionacional.mcu.es/es/programacion/excelentia-bach-pasion-segun-san-mateo/@@images/e1f44db8-2166-4de6-89c9-364a6daa9666.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
OCNE. Sinfónico 17;Sala Sinfónica;2025-03-21;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-17-1;"
Orquesta Nacional de España Alondra de la Parra Directora Daniel Lozakovich Violín
Gabriela Ortiz Téenek – Invenciones de Territorio Robert Schumann Concierto para violín y orquesta en Re menor Ígor Stravinski Petrushka";40, 36, 28, 20 y 13 €;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-17-1/@@images/6a2f3691-b4bc-46b4-b6ba-324ea63abefb.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
OCNE. Sinfónico 17;Sala Sinfónica;2025-03-22;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-17-1;"
Orquesta Nacional de España Alondra de la Parra Directora Daniel Lozakovich Violín
Gabriela Ortiz Téenek – Invenciones de Territorio Robert Schumann Concierto para violín y orquesta en Re menor Ígor Stravinski Petrushka";40, 36, 28, 20 y 13 €;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-17-1/@@images/6a2f3691-b4bc-46b4-b6ba-324ea63abefb.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
CNDM. Orquesta Barroca de Sevilla;Sala de Cámara;2025-03-22;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/cndm-orquesta-barroca-de-sevilla-5;Orquesta Barroca de Sevilla MIDORI SEILER, concertino y dirección Programa Johann Georg Linike (ca. 1680-d. 1737) Suite para cuerda y bajo continuo en re mayor Joseph Spiess (?-1730) Concierto para violín en mi menor Johann Sebastian Bach (1685-1750) Concierto de Brandeburgo n.º 3 en sol mayor, BWV 1048 (1718) Concierto para violín en la menor, BWV 1041 (ca. 1730) Georg Philipp Telemann (1681-1797) Concerto à 4 en la mayor, TWV 43:a4 J. S. Bach Concierto para tres violines en re mayor, BWV 1064R;28, 21 y 14 €;https://www.auditorionacional.mcu.es/es/programacion/cndm-orquesta-barroca-de-sevilla-5/@@images/6a61361e-49f0-42f5-83ed-8765e1f7d4ed.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
OCNE. Sinfónico 17;Sala Sinfónica;2025-03-23;11:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-17-1;"
Orquesta Nacional de España Alondra de la Parra Directora Daniel Lozakovich Violín
Gabriela Ortiz Téenek – Invenciones de Territorio Robert Schumann Concierto para violín y orquesta en Re menor Ígor Stravinski Petrushka";40, 36, 28, 20 y 13 €;https://www.auditorionacional.mcu.es/es/programacion/concierto-ocne-sinfonico-17-1/@@images/6a2f3691-b4bc-46b4-b6ba-324ea63abefb.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
Filarmonía de Madrid. Tchaikovsky y Borodin;Sala Sinfónica;2025-03-23;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/filarmonia-de-madrid-tchaikovsky-y-borodin;Orquesta y Coro Filarmonía Coro Participativo Rafael Albiñana, director de Coro Pascual Osa, director musical I PARTE Sinfonía nº7 en la mayor, Op. 92 (L. V. Beethoven) II PARTE Danzas Polovtsianas (A. Borodin) Obertura 1812, Op. 49 (P. I. Tchaikovski);56, 49, 41, 32 y 28 €;https://www.auditorionacional.mcu.es/es/programacion/filarmonia-de-madrid-tchaikovsky-y-borodin/@@images/c4bb4228-01a6-4cf4-82e1-d907484e9a75.png;Auditorio Nacional;null;null;null;null;null;null;null
UAM. Los Locos;Sala de Cámara;2025-03-23;19:30:00+01:00;https://www.auditorionacional.mcu.es/es/programacion/uam-los-locos;"Camerata del Prado Tomás Garrido, dirección musical Ana Contreras, dirección escénica Mariví Blasco, soprano Ingartze Astuy, mezzosoprano Francisco J. Sánchez, tenor Ángel Rodríguez Torres, bajo
Zarzuela “Los Locos”, de Félix Máximo López";40, 30 y 25 €;https://www.auditorionacional.mcu.es/es/programacion/uam-los-locos/@@images/6c2ecd25-3b68-459b-84c6-755daf660bfe.jpeg;Auditorio Nacional;null;null;null;null;null;null;null
